GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:20:44.951Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-20-44-951Z

Game 103: O | GNU | clockwise > (37 turns, 60/56 moves, 0.02s)
Game 104: X | NODOTS | counterclockwise > (32 turns, 52/53 moves, 0.01s)
Game 105: O | GNU | clockwise > (31 turns, 56/47 moves, 0.01s)
Game 106: O | GNU | clockwise > (38 turns, 65/58 moves, 0.01s)
Game 107: O | GNU | clockwise > (37 turns, 59/59 moves, 0.01s)
Game 108: O | GNU | clockwise > (38 turns, 67/64 moves, 0.01s)
Game 109: X | NODOTS | counterclockwise > (38 turns, 63/62 moves, 0.01s)
Game 110: O | GNU | clockwise > (41 turns, 66/61 moves, 0.01s)
Game 111: O | GNU | clockwise > (32 turns, 58/49 moves, 0.01s)
Game 112: O | GNU | clockwise > (29 turns, 49/44 moves, 0.01s)
Game 113: O | GNU | clockwise > (36 turns, 60/56 moves, 0.01s)
Game 114: X | NODOTS | counterclockwise > (37 turns, 54/63 moves, 0.01s)
Game 115: X | NODOTS | counterclockwise > (32 turns, 54/54 moves, 0.01s)
Game 116: O | GNU | clockwise > (38 turns, 59/54 moves, 0.01s)
Game 117: O | GNU | clockwise > (36 turns, 61/55 moves, 0.01s)
Game 118: X | NODOTS | counterclockwise > (33 turns, 54/54 moves, 0.01s)
Game 119: X | NODOTS | counterclockwise > (35 turns, 59/61 moves, 0.01s)
Game 120: O | GNU | clockwise > (41 turns, 67/59 moves, 0.01s)
Game 121: X | NODOTS | counterclockwise > (45 turns, 70/70 moves, 0.01s)
Game 122: O | GNU | clockwise > (35 turns, 60/47 moves, 0.01s)
Game 123: O | GNU | clockwise > (38 turns, 58/54 moves, 0.01s)
Game 124: O | GNU | clockwise > (33 turns, 61/52 moves, 0.01s)
Game 125: O | GNU | clockwise > (38 turns, 60/62 moves, 0.01s)
Game 126: O | GNU | clockwise > (29 turns, 53/44 moves, 0.01s)
Game 127: O | GNU | clockwise > (32 turns, 58/55 moves, 0.01s)
Game 128: X | NODOTS | counterclockwise > (37 turns, 58/62 moves, 0.01s)
