GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:21:42.751Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-21-42-750Z

Game 208: X | NODOTS | counterclockwise > (41 turns, 66/68 moves, 0.02s)
Game 209: O | GNU | clockwise > (35 turns, 60/61 moves, 0.02s)
Game 210: O | GNU | clockwise > (35 turns, 57/53 moves, 0.01s)
Game 211: O | GNU | clockwise > (42 turns, 68/59 moves, 0.02s)
Game 212: O | GNU | clockwise > (34 turns, 58/55 moves, 0.01s)
Game 213: O | GNU | clockwise > (34 turns, 57/52 moves, 0.01s)
Game 214: X | NODOTS | counterclockwise > (37 turns, 56/64 moves, 0.01s)
Game 215: O | GNU | clockwise > (37 turns, 60/59 moves, 0.01s)
Game 216: O | GNU | clockwise > (36 turns, 60/55 moves, 0.02s)
Game 217: X | NODOTS | counterclockwise > (35 turns, 55/63 moves, 0.01s)
Game 218: O | GNU | clockwise > (35 turns, 58/54 moves, 0.01s)
Game 219: O | GNU | clockwise > (34 turns, 56/51 moves, 0.01s)
Game 220: O | GNU | clockwise > (31 turns, 54/43 moves, 0.01s)
Game 221: O | GNU | clockwise > (37 turns, 60/55 moves, 0.01s)
Game 222: O | GNU | clockwise > (43 turns, 71/61 moves, 0.01s)
Game 223: X | NODOTS | counterclockwise > (35 turns, 55/57 moves, 0.01s)
Game 224: O | GNU | clockwise > (36 turns, 60/57 moves, 0.01s)
Game 225: X | NODOTS | counterclockwise > (33 turns, 50/54 moves, 0.01s)
Game 226: O | GNU | clockwise > (31 turns, 54/52 moves, 0.01s)
Game 227: O | GNU | clockwise > (33 turns, 59/54 moves, 0.01s)
Game 228: O | GNU | clockwise > (34 turns, 57/52 moves, 0.01s)
Game 229: O | GNU | clockwise > (39 turns, 64/60 moves, 0.01s)
Game 230: X | NODOTS | counterclockwise > (34 turns, 55/54 moves, 0.01s)
Game 231: O | GNU | clockwise > (31 turns, 58/47 moves, 0.01s)
Game 232: X | NODOTS | counterclockwise > (36 turns, 56/55 moves, 0.01s)
Game 233: X | NODOTS | counterclockwise > (30 turns, 47/52 moves, 0.01s)
Game 234: X | NODOTS | counterclockwise > (35 turns, 63/62 moves, 0.01s)
Game 235: X | NODOTS | counterclockwise > (35 turns, 55/59 moves, 0.01s)
Game 236: O | GNU | clockwise > (31 turns, 53/47 moves, 0.01s)
Game 237: X | NODOTS | counterclockwise > (52 turns, 82/79 moves, 0.02s)
Game 238: X | NODOTS | counterclockwise > (36 turns, 56/57 moves, 0.01s)
Game 239: O | GNU | clockwise > (40 turns, 63/69 moves, 0.01s)
Game 240: O | GNU | clockwise > (42 turns, 67/59 moves, 0.01s)
Game 241: X | NODOTS | counterclockwise > (30 turns, 49/46 moves, 0.01s)
Game 242: X | NODOTS | counterclockwise > (30 turns, 47/56 moves, 0.01s)
Game 243: O | GNU | clockwise > (36 turns, 59/55 moves, 0.01s)
